GeneID	Entrez	Symbol	Description	Biotype	Chr	Start	End	Strand
ENSMUSG00000062393	331374	Dgkk	diacylglycerol kinase kappa  [Source:RefSeq peptide;Acc:NP_808582]	protein_coding	X	6779306	6948363	1
ENSMUSG00000063018	NA	2010204K13Rik	RIKEN cDNA 2010204K13 gene [Source:MGI Symbol;Acc:MGI:1922859]	processed_transcript	X	7411817	7445143	-1
ENSMUSG00000064127	26896	Med14	Mediator of RNA polymerase II transcription subunit 14  [Source:UniProtKB/Swiss-Prot;Acc:A2ABV5]	protein_coding	X	12675369	12762073	-1
ENSMUSG00000068200	NA	Gm5931	predicted pseudogene 5931 [Source:MGI Symbol;Acc:MGI:3647036]	processed_pseudogene	X	10660522	10660998	1
ENSMUSG00000068243	NA	Gm7079	predicted pseudogene 7079 [Source:MGI Symbol;Acc:MGI:3643105]	processed_pseudogene	X	8047229	8047399	1
ENSMUSG00000068270	208431	Shroom4	Protein Shroom4  [Source:UniProtKB/Swiss-Prot;Acc:Q1W617]	protein_coding	X	6399854	6637448	1
ENSMUSG00000073293	102954	Nudt10	Diphosphoinositol polyphosphate phosphohydrolase 3-alpha  [Source:UniProtKB/Swiss-Prot;Acc:P0C027]	protein_coding	X	6168696	6173015	-1
ENSMUSG00000073295	58242	Nudt11	Diphosphoinositol polyphosphate phosphohydrolase 3-alpha  [Source:UniProtKB/Swiss-Prot;Acc:P0C027]	protein_coding	X	6047453	6055110	1
ENSMUSG00000079694	NA	Gm14862		protein_coding	X	9250928	9256899	-1
ENSMUSG00000079697	NA	Gm5751		protein_coding	X	8874253	8880750	1
ENSMUSG00000079871	NA	Gm4984	predicted pseudogene 4984 [Source:MGI Symbol;Acc:MGI:3644533]	processed_pseudogene	X	12652303	12652662	1
ENSMUSG00000080186	NA	Gm14448	predicted gene 14448 [Source:MGI Symbol;Acc:MGI:3649326]	processed_pseudogene	X	5885743	5885952	-1
ENSMUSG00000080811	NA	Gm14513	predicted gene 14513 [Source:MGI Symbol;Acc:MGI:3648369]	processed_pseudogene	X	11684002	11684124	-1
ENSMUSG00000080877	NA	Rpl22-ps1	ribosomal protein L22, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644276]	processed_pseudogene	X	8038611	8038996	-1
ENSMUSG00000080914	NA	Gm7129	predicted gene 7129 [Source:MGI Symbol;Acc:MGI:3648820]	processed_pseudogene	X	13326023	13327019	-1
ENSMUSG00000081232	NA	Gm14373	predicted gene 14373 [Source:MGI Symbol;Acc:MGI:3651800]	processed_pseudogene	X	5699727	5701884	-1
ENSMUSG00000081255	NA	Gm5380	predicted gene 5380 [Source:MGI Symbol;Acc:MGI:3643773]	processed_pseudogene	X	13302285	13304420	1
ENSMUSG00000081461	NA	Rpl30-ps11	ribosomal protein L30, pseudogene 11 [Source:MGI Symbol;Acc:MGI:3642364]	processed_pseudogene	X	12456886	12457230	-1
ENSMUSG00000081597	NA	Gm14506	predicted gene 14506 [Source:MGI Symbol;Acc:MGI:3705552]	processed_pseudogene	X	13490498	13491033	-1
ENSMUSG00000082090	NA	Gm16481	predicted gene 16481 [Source:MGI Symbol;Acc:MGI:3648374]	processed_pseudogene	X	13238327	13239553	1
ENSMUSG00000082109	NA	Rpl19-ps12	ribosomal protein L19, pseudogene 12 [Source:MGI Symbol;Acc:MGI:3651430]	processed_pseudogene	X	6071222	6071812	1
ENSMUSG00000082129	NA	Gm14502	predicted gene 14502 [Source:MGI Symbol;Acc:MGI:3705819]	unprocessed_pseudogene	X	8830322	8830434	-1
ENSMUSG00000082617	NA	Smt3h2-ps	SMT3 suppressor of mif two 3 homolog 2, pseudogene (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1859622]	processed_pseudogene	X	7752130	7752414	1
ENSMUSG00000082838	NA	Gm14519	predicted gene 14519 [Source:MGI Symbol;Acc:MGI:3646740]	processed_pseudogene	X	15365179	15365490	1
ENSMUSG00000083199	NA	Gm9432	predicted gene 9432 [Source:MGI Symbol;Acc:MGI:3648371]	processed_pseudogene	X	12619474	12620232	-1
ENSMUSG00000083307	245350	AA414768	expressed sequence AA414768 [Source:MGI Symbol;Acc:MGI:3035137]	processed_pseudogene	X	12936872	12938128	1
ENSMUSG00000083364	NA	Llph-ps2	LLP homolog, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3642864]	processed_pseudogene	X	13218210	13218602	-1
ENSMUSG00000083439	NA	Gm14491	predicted gene 14491 [Source:MGI Symbol;Acc:MGI:3705582]	processed_pseudogene	X	11913091	11913289	-1
ENSMUSG00000083468	NA	Gm9431	predicted gene 9431 [Source:MGI Symbol;Acc:MGI:3648373]	processed_pseudogene	X	9009027	9010077	-1
ENSMUSG00000084349	NA	Rpl3-ps1	ribosomal protein L3, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644217]	processed_pseudogene	X	13202571	13203780	1
ENSMUSG00000085891	NA	Gm14634	predicted gene 14634 [Source:MGI Symbol;Acc:MGI:3705147]	processed_transcript	X	12762278	12821492	1
ENSMUSG00000086404	NA	Gm6787	predicted gene 6787 [Source:MGI Symbol;Acc:MGI:3646481]	processed_transcript	X	8097087	8106701	1
ENSMUSG00000086996	NA	4933416E14Rik	RIKEN cDNA 4933416E14 gene [Source:MGI Symbol;Acc:MGI:1918430]	transcribed_processed_pseudogene	X	10415301	10417238	-1
ENSMUSG00000087252	NA	Gm14379	predicted gene 14379 [Source:MGI Symbol;Acc:MGI:3649346]	processed_transcript	X	7375925	7378042	1
ENSMUSG00000087424	NA	5730405O15Rik	RIKEN cDNA 5730405O15 gene [Source:MGI Symbol;Acc:MGI:1917739]	processed_transcript	X	13042015	13045297	1
ENSMUSG00000087644	NA	Gm14703	predicted gene 14703 [Source:MGI Symbol;Acc:MGI:3705165]	antisense	X	7651106	7657258	-1
ENSMUSG00000090084	51795	Srpx	Sushi-repeat-containing protein SRPX  [Source:UniProtKB/Swiss-Prot;Acc:Q9R0M3]	protein_coding	X	10037977	10117709	-1
ENSMUSG00000100200	76383	H2al1m		protein_coding	X	9283764	9284298	1
ENSMUSG00000100714	NA	2010308F09Rik	RIKEN cDNA 2010308F09 gene [Source:MGI Symbol;Acc:MGI:1919372]	lincRNA	X	13234641	13247736	-1
ENSMUSG00000103436	NA	Gm36995	predicted gene, 36995 [Source:MGI Symbol;Acc:MGI:5610223]	processed_transcript	X	7558602	7605381	-1
ENSMUSG00000000223	13497	Drp2	Dystrophin-related protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q05AA6]	protein_coding	X	134404551	134456573	1
ENSMUSG00000000355	68995	Mcts1	Malignant T-cell-amplified sequence 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9DB27]	protein_coding	X	38600578	38613426	1
ENSMUSG00000000838	14265	Fmr1	fragile X mental retardation 1 [Source:HGNC Symbol;Acc:HGNC:3775]	protein_coding	X	68678541	68717963	1
ENSMUSG00000000881	53310	Dlg3	Disks large homolog 3  [Source:UniProtKB/Swiss-Prot;Acc:P70175]	protein_coding	X	100767722	100818410	1
ENSMUSG00000001127	11836	Araf	Serine/threonine-protein kinase A-Raf  [Source:UniProtKB/Swiss-Prot;Acc:P04627]	protein_coding	X	20797814	20860519	1
ENSMUSG00000001128	18636	Cfp	complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]	protein_coding	X	20925454	20931555	-1
ENSMUSG00000001131	21857	Timp1	Metalloproteinase inhibitor 1  [Source:UniProtKB/Swiss-Prot;Acc:P12032]	protein_coding	X	20870166	20874735	1
ENSMUSG00000001134	22294	Uxt	ubiquitously expressed transcript [Source:MGI Symbol;Acc:MGI:1277988]	protein_coding	X	20941722	20962017	-1
ENSMUSG00000001173	320634	Ocrl	Inositol polyphosphate 5-phosphatase OCRL-1  [Source:UniProtKB/Swiss-Prot;Acc:Q6NVF0]	protein_coding	X	47912387	47965868	1
ENSMUSG00000001924	22201	Uba1	ubiquitin-like modifier activating enzyme 1 [Source:MGI Symbol;Acc:MGI:98890]	protein_coding	X	20658326	20683179	1
ENSMUSG00000001962	108160	Fam50a	Protein FAM50A  [Source:UniProtKB/Swiss-Prot;Acc:Q9WV03]	protein_coding	X	74313033	74320149	1
ENSMUSG00000001964	13726	Emd	Emerin  [Source:UniProtKB/Swiss-Prot;Acc:O08579]	protein_coding	X	74254687	74261548	1
ENSMUSG00000001986	53623	Gria3	Mus musculus glutamate receptor, ionotropic, AMPA3 (alpha 3) (Gria3), transcript variant 5, mRNA. [Source:RefSeq mRNA;Acc:NM_001358361]	protein_coding	X	41400854	41678601	1
ENSMUSG00000002006	245469	Pdzd4	PDZ domain-containing protein 4  [Source:UniProtKB/Swiss-Prot;Acc:Q9QY39]	protein_coding	X	73793359	73824969	-1
ENSMUSG00000002007	56504	Srpk3	serine/arginine-rich protein specific kinase 3 [Source:MGI Symbol;Acc:MGI:1891338]	protein_coding	X	73774405	73778925	1
ENSMUSG00000002010	15929	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]	protein_coding	X	73778963	73786897	-1
ENSMUSG00000002012	93843	Pnck	pregnancy upregulated non-ubiquitously expressed CaM kinase [Source:MGI Symbol;Acc:MGI:1347357]	protein_coding	X	73655994	73660117	-1
ENSMUSG00000002014	20832	Ssr4	signal sequence receptor, delta [Source:MGI Symbol;Acc:MGI:1099464]	protein_coding	X	73787028	73790830	1
ENSMUSG00000002015	27061	Bcap31	B-cell receptor-associated protein 31  [Source:UniProtKB/Swiss-Prot;Acc:Q61335]	protein_coding	X	73686178	73716175	-1
ENSMUSG00000004221	16151	Ikbkg	NF-kappa-B essential modulator  [Source:UniProtKB/Swiss-Prot;Acc:O88522]	protein_coding	X	74393290	74453854	1
ENSMUSG00000005864	12789	Cnga2	Cyclic nucleotide-gated olfactory channel  [Source:UniProtKB/Swiss-Prot;Acc:Q62398]	protein_coding	X	71991849	72010218	1
ENSMUSG00000006373	53328	Pgrmc1	progesterone receptor membrane component 1 [Source:MGI Symbol;Acc:MGI:1858305]	protein_coding	X	36598206	36606079	1
ENSMUSG00000006423	77644	C330007P06Rik	UPF0428   [Source:UniProtKB/Swiss-Prot;Acc:Q8VDP2]	protein_coding	X	36823737	36874111	-1
ENSMUSG00000006678	18968	Pola1	polymerase (DNA directed), alpha 1 [Source:MGI Symbol;Acc:MGI:99660]	protein_coding	X	93304767	93632155	-1
ENSMUSG00000008682	110954	Rpl10	ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:105943]	protein_coding	X	74270812	74273135	1
ENSMUSG00000009406	13712	Elk1	ETS domain-containing protein Elk-1  [Source:UniProtKB/Swiss-Prot;Acc:P41969]	protein_coding	X	20933395	20950608	-1
ENSMUSG00000009596	74469	Taf7l	Transcription initiation factor TFIID subunit 7-like  [Source:UniProtKB/Swiss-Prot;Acc:Q9D3R9]	protein_coding	X	134460118	134476490	-1
ENSMUSG00000009670	83558	Tex11	Testis-expressed protein 11  [Source:UniProtKB/Swiss-Prot;Acc:Q14AT2]	protein_coding	X	100838648	101059667	-1
ENSMUSG00000009941	83454	Nxf2		protein_coding	X	134944526	134964754	-1
ENSMUSG00000009995	66826	Taz	tafazzin [Source:MGI Symbol;Acc:MGI:109626]	protein_coding	X	74281912	74290151	1
ENSMUSG00000015214	53332	Mtmr1	Myotubularin-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9Z2C4]	protein_coding	X	71364760	71419196	1
ENSMUSG00000015217	15354	Hmgb3	High mobility group protein B3  [Source:UniProtKB/Swiss-Prot;Acc:O54879]	protein_coding	X	71555918	71560676	1
ENSMUSG00000015289	66192	Lage3	EKC/KEOPS complex subunit Lage3  [Source:UniProtKB/Swiss-Prot;Acc:Q9CR70]	protein_coding	X	74351276	74353618	-1
ENSMUSG00000015290	27643	Ubl4a	Ubiquitin-like protein 4A  [Source:UniProtKB/Swiss-Prot;Acc:P21126]	protein_coding	X	74365718	74373218	-1
ENSMUSG00000015291	14567	Gdi1	Rab GDP dissociation inhibitor alpha  [Source:UniProtKB/Swiss-Prot;Acc:P50396]	protein_coding	X	74304998	74311862	1
ENSMUSG00000015668	72621	Pdzd11	PDZ domain-containing protein 11  [Source:UniProtKB/Swiss-Prot;Acc:Q9CZG9]	protein_coding	X	100622883	100626568	-1
ENSMUSG00000016150	23963	Tenm1	teneurin transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1345185]	protein_coding	X	42527866	43429126	-1
ENSMUSG00000016239	74365	Lonrf3	LON peptidase N-terminal domain and RING finger protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9D4H7]	protein_coding	X	36328353	36362341	1
ENSMUSG00000016308	22209	Ube2a	ubiquitin-conjugating enzyme E2A [Source:MGI Symbol;Acc:MGI:102959]	protein_coding	X	36873900	36884222	1
ENSMUSG00000016319	11740	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]	protein_coding	X	36795651	36798807	1
ENSMUSG00000016382	102866	Pls3	Mus musculus plastin 3 (T-isoform) (Pls3), transcript variant 4, mRNA. [Source:RefSeq mRNA;Acc:NM_001346519]	protein_coding	X	75785654	75875182	-1
ENSMUSG00000016409	67050	Nkap	NF-kappa-B-activating protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9D0F4]	protein_coding	X	37126795	37150746	1
ENSMUSG00000016427	54405	Ndufa1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1  [Source:UniProtKB/Swiss-Prot;Acc:O35683]	protein_coding	X	37187588	37191163	-1
ENSMUSG00000016534	16784	Lamp2	Lysosome-associated membrane glycoprotein 2  [Source:UniProtKB/Swiss-Prot;Acc:P17047]	protein_coding	X	38401357	38456454	-1
ENSMUSG00000017057	16164	Il13ra1	Interleukin-13 receptor subunit alpha-1  [Source:UniProtKB/Swiss-Prot;Acc:O09030]	protein_coding	X	36112110	36171259	1
ENSMUSG00000019087	54411	Atp6ap1	ATPase, H+ transporting, lysosomal accessory protein 1 [Source:MGI Symbol;Acc:MGI:109629]	protein_coding	X	74297097	74304721	1
ENSMUSG00000019088	69537	Dnase1l1	Deoxyribonuclease-1-like 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9D7J6]	protein_coding	X	74273217	74282337	-1
ENSMUSG00000019359	71584	Gdpd2	Mus musculus glycerophosphodiester phosphodiesterase domain containing 2 (Gdpd2), transcript variant 3, mRNA. [Source:RefSeq mRNA;Acc:NM_001358507]	protein_coding	X	100729873	100738895	1
ENSMUSG00000019558	102857	Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8 [Source:MGI Symbol;Acc:MGI:2147834]	protein_coding	X	73673150	73682502	1
ENSMUSG00000023070	19733	Rgn	Regucalcin  [Source:UniProtKB/Swiss-Prot;Acc:Q64374]	protein_coding	X	20549787	20562089	1
ENSMUSG00000023074	70380	Mospd1	Motile sperm domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q8VEL0]	protein_coding	X	53344598	53370502	-1
ENSMUSG00000023092	14199	Fhl1	Four and a half LIM domains protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P97447]	protein_coding	X	56731787	56793346	1
ENSMUSG00000025038	74405	Efhc2	EF-hand domain-containing family member C2  [Source:UniProtKB/Swiss-Prot;Acc:Q9D485]	protein_coding	X	17132049	17319368	-1
ENSMUSG00000025040	72018	Fundc1	FUN14 domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9DB70]	protein_coding	X	17556564	17572325	-1
ENSMUSG00000025059	14933	Gk	Mus musculus glycerol kinase (Gk), transcript variant 5, mRNA. [Source:RefSeq mRNA;Acc:NM_001331046]	protein_coding	X	85701937	85776819	-1
ENSMUSG00000025151	94275	Maged1	Melanoma-associated antigen D1  [Source:UniProtKB/Swiss-Prot;Acc:Q9QYH6]	protein_coding	X	94535474	94542143	-1
ENSMUSG00000025246	21372	Tbl1x	F-box-like/WD repeat-containing protein TBL1X  [Source:UniProtKB/Swiss-Prot;Acc:Q9QXE7]	protein_coding	X	77511013	77662983	1
ENSMUSG00000025525	68117	Apool	MICOS complex subunit Mic27  [Source:UniProtKB/Swiss-Prot;Acc:Q78IK4]	protein_coding	X	112311334	112372755	1
ENSMUSG00000025529	245595	Zfp711	zinc finger protein 711 [Source:MGI Symbol;Acc:MGI:3045342]	protein_coding	X	112600526	112635070	1
ENSMUSG00000025531	12662	Chm	choroidermia (RAB escort protein 1) [Source:MGI Symbol;Acc:MGI:892979]	protein_coding	X	113040593	113185517	-1
ENSMUSG00000025592	93837	Dach2	Dachshund homolog 2  [Source:UniProtKB/Swiss-Prot;Acc:Q925Q8]	protein_coding	X	113297510	113836386	1
ENSMUSG00000025597	237010	Klhl4	kelch-like protein 4 isoform 3  [Source:RefSeq peptide;Acc:NP_001277407]	protein_coding	X	114474333	114560829	1
ENSMUSG00000025626	70998	Phf6	PHD finger protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q9D4J7]	protein_coding	X	52912266	52956943	1
ENSMUSG00000025630	15452	Hprt	Hypoxanthine-guanine phosphoribosyltransferase  [Source:UniProtKB/Swiss-Prot;Acc:P00493]	protein_coding	X	52988137	53021659	1
ENSMUSG00000025656	236915	Arhgef9	Rho guanine nucleotide exchange factor 9  [Source:UniProtKB/Swiss-Prot;Acc:Q3UTH8]	protein_coding	X	95048935	95196856	-1
ENSMUSG00000025665	67071	Rps6ka6	ribosomal protein S6 kinase polypeptide 6 [Source:MGI Symbol;Acc:MGI:1914321]	protein_coding	X	111388192	111537959	-1
ENSMUSG00000025666	192216	Tmem47	Transmembrane protein 47  [Source:UniProtKB/Swiss-Prot;Acc:Q9JJG6]	protein_coding	X	81070698	81097872	1
ENSMUSG00000025860	11798	Xiap	X-linked inhibitor of apoptosis [Source:MGI Symbol;Acc:MGI:107572]	protein_coding	X	42059679	42109656	1
ENSMUSG00000025862	20843	Stag2	stromal antigen 2 [Source:MGI Symbol;Acc:MGI:1098583]	protein_coding	X	42149317	42277185	1
